"id_mapel","nama_mapel","waktu","id_kelas"
"1","B.INGGRIS","2","1"
"2","B.INGGRIS","2","2"
"3","B.INGGRIS","2","3"
"4","B.INGGRIS","2","4"
"5","B.INGGRIS","2","5"
"6","B.INGGRIS","2","6"
"7","B.INGGRIS","2","7"
"8","B.INGGRIS","2","8"
"9","B.INGGRIS","2","9"
"10","B.INDONESIA","2","1"
"11","B.INDONESIA","2","2"
"12","B.INDONESIA","2","3"
"13","B.INDONESIA","2","4"
"14","B.INDONESIA","2","5"
"15","B.INDONESIA","2","6"
"16","B.INDONESIA","2","7"
"17","B.INDONESIA","2","8"
"18","B.INDONESIA","2","9"
"19","MATEMATIKA","2","1"
"20","MATEMATIKA","2","2"
"21","MATEMATIKA","2","3"
"22","MATEMATIKA","2","4"
"23","MATEMATIKA","2","5"
"24","MATEMATIKA","2","6"
"25","MATEMATIKA","2","7"
"26","MATEMATIKA","2","8"
"27","MATEMATIKA","2","9"
"28","FISIKA","2","4"
"29","FISIKA","2","5"
"30","FISIKA","2","7"
"31","FISIKA","2","8"
"32","BIOLOGI","2","4"
"33","BIOLOGI","2","5"
"34","BIOLOGI","2","7"
"35","BIOLOGI","2","8"
"36","AKUNTANSI","2","6"
"37","AKUNTANSI","2","9"
"38","AL-QURAN","3","1"
"39","AL-QURAN","3","2"
"40","AL-QURAN","3","3"
"41","AL-QURAN","3","4"
"42","AL-QURAN","3","5"
"43","AL-QURAN","3","6"
"44","AL-HADIST","3","1"
"45","AL-HADIST","3","2"
"46","AL-HADIST","3","3"
"47","AL-HADIST","3","4"
"48","AL-HADIST","3","5"
"49","AL-HADIST","3","6"
"50","EKONOMI","2","6"
"51","EKONOMI","2","9"
